X,Y, tiempo
-1.000070999999999932e+00,1.203364000000000100e+00,3.386000000000000121e+00
-1.023166999999999938e+00,1.181953999999999949e+00,3.486000000000000210e+00
-1.058038999999999952e+00,1.149831999999999965e+00,3.685000000000000053e+00
-1.081458000000000030e+00,1.128435999999999995e+00,3.685999999999999943e+00
-1.116873000000000005e+00,1.096414999999999917e+00,3.786000000000000032e+00
-1.140689999999999982e+00,1.075140999999999902e+00,3.886000000000000121e+00
-1.178266999999999953e+00,1.042064000000000101e+00,3.986000000000000210e+00
-1.202563999999999966e+00,1.021025000000000071e+00,4.086000000000000298e+00
-1.239398000000000000e+00,9.897029999999999994e-01,4.187000000000000277e+00
-1.264227999999999907e+00,9.690020000000000300e-01,4.286999999999999922e+00
-1.301903999999999950e+00,9.382679999999999909e-01,4.386999999999999567e+00
-1.327321999999999891e+00,9.180129999999999679e-01,4.487000000000000099e+00
-1.365917999999999966e+00,8.880289999999999573e-01,4.586999999999999744e+00
-1.391971999999999987e+00,8.683290000000000175e-01,4.687000000000000277e+00
-1.431553999999999993e+00,8.392579999999999485e-01,4.788000000000000256e+00
-1.458283999999999914e+00,8.202220000000000066e-01,4.887999999999999901e+00
-1.498904000000000014e+00,7.922289999999999610e-01,4.988999999999999879e+00
-1.528065000000000007e+00,7.728359999999999674e-01,5.088000000000000078e+00
-1.569790000000000019e+00,7.461200000000000054e-01,5.187999999999999723e+00
-1.597971999999999948e+00,7.287660000000000249e-01,5.290000000000000036e+00
-1.640797000000000061e+00,7.034620000000000317e-01,5.389000000000000234e+00
-1.669715000000000060e+00,6.871049999999999658e-01,5.488999999999999879e+00
-1.713643999999999945e+00,6.633780000000000232e-01,5.589000000000000412e+00
-1.743295999999999957e+00,6.481259999999999799e-01,5.689000000000000057e+00
-1.788318000000000074e+00,6.261370000000000546e-01,5.790000000000000036e+00
-1.818689999999999918e+00,6.120940000000000270e-01,5.889999999999999680e+00
-1.864773999999999932e+00,5.919950000000000490e-01,5.990000000000000213e+00
-1.895839999999999970e+00,5.792629999999999724e-01,6.089999999999999858e+00
-1.942939999999999889e+00,5.612000000000000322e-01,6.190000000000000391e+00
-1.974663000000000057e+00,5.498690000000000522e-01,6.290000000000000036e+00
-2.024728000000000083e+00,5.333409999999999540e-01,6.389999999999999680e+00
-2.057074000000000069e+00,5.235349999999999726e-01,6.490000000000000213e+00
-2.106017000000000028e+00,5.099839999999999929e-01,6.591000000000000192e+00
-2.138914000000000204e+00,5.017369999999999886e-01,6.690999999999999837e+00
-2.188632999999999829e+00,4.905720000000000081e-01,6.791000000000000369e+00
-2.222013000000000016e+00,4.839439999999999853e-01,6.891000000000000014e+00
-2.272406000000000148e+00,4.752430000000000265e-01,6.990999999999999659e+00
-2.306198000000000192e+00,4.702770000000000006e-01,7.091000000000000192e+00
-2.357152999999999832e+00,4.640929999999999778e-01,7.192000000000000171e+00
-2.391283000000000047e+00,4.608169999999999766e-01,7.291999999999999815e+00
-2.442686999999999831e+00,4.571790000000000020e-01,7.392000000000000348e+00
-2.479230999999999963e+00,4.555279999999999885e-01,7.491999999999999993e+00
-2.530978000000000172e+00,4.545029999999999903e-01,7.591999999999999638e+00
-2.565561000000000202e+00,4.546660000000000146e-01,7.692000000000000171e+00
-2.617532000000000192e+00,4.561689999999999912e-01,7.793000000000000149e+00
-2.652228000000000030e+00,4.580029999999999935e-01,7.892999999999999794e+00
-2.704321999999999893e+00,4.619869999999999810e-01,7.993000000000000327e+00
-2.739069000000000198e+00,4.654550000000000076e-01,8.092999999999999972e+00
-2.791192999999999813e+00,4.718499999999999917e-01,8.192999999999999616e+00
-2.825934000000000168e+00,4.768959999999999866e-01,8.292999999999999261e+00
-2.860657999999999923e+00,4.825559999999999850e-01,8.394000000000000128e+00
-2.912691000000000141e+00,4.921670000000000211e-01,8.493999999999999773e+00
-2.947328000000000170e+00,4.993009999999999948e-01,8.593999999999999417e+00
-3.001342999999999872e+00,5.115709999999999980e-01,8.694000000000000838e+00
-3.035832000000000086e+00,5.201179999999999692e-01,8.794000000000000483e+00
-3.087434000000000012e+00,5.339129999999999709e-01,8.894999999999999574e+00
-3.121739999999999959e+00,5.437349999999999683e-01,8.994999999999999218e+00
-3.173043999999999976e+00,5.593599999999999683e-01,9.095000000000000639e+00
-3.207139999999999880e+00,5.703460000000000196e-01,9.195000000000000284e+00
-3.258119999999999905e+00,5.876320000000000432e-01,9.294999999999999929e+00
-3.291996999999999840e+00,5.996669999999999501e-01,9.394999999999999574e+00
-3.342648000000000064e+00,6.184399999999999897e-01,9.496000000000000441e+00
-3.376307999999999865e+00,6.314070000000000515e-01,9.596000000000000085e+00
-3.428735000000000088e+00,6.523409999999999487e-01,9.695999999999999730e+00
