X,Y
-2.288999938964843750e+02,-9.500000000000000000e+00
-2.287732630395638864e+02,-9.494494325783353617e+00
-2.286465321921384657e+02,-9.488988651979211042e+00
-2.285198013541890703e+02,-9.483482978586742718e+00
-2.283930705256970271e+02,-9.477977305605135072e+00
-2.282663397066433504e+02,-9.472471633033565652e+00
-2.281396088970093388e+02,-9.466965960871217334e+00
-2.280128780967762339e+02,-9.461460289117278322e+00
-2.278861473059252774e+02,-9.455954617770927939e+00
-2.277594165244381657e+02,-9.450448946831368602e+00
-2.276326857522961689e+02,-9.444943276297788515e+00
-2.275059549894808981e+02,-9.439437606169382988e+00
-2.273792242359739078e+02,-9.433931936445349109e+00
-2.272524934917568373e+02,-9.428426267124883964e+00
-2.271257627568115254e+02,-9.422920598207198850e+00
-2.269990320311196683e+02,-9.417414929691494407e+00
-2.268723013146631899e+02,-9.411909261576974828e+00
-2.267455706074238719e+02,-9.406403593862854962e+00
-2.266188399093836949e+02,-9.400897926548339001e+00
-2.264921092205248385e+02,-9.395392259632652454e+00
-2.263653785408293118e+02,-9.389886593115008395e+00
-2.262386478702792374e+02,-9.384380926994623451e+00
-2.261119172088568803e+02,-9.378875261270723129e+00
-2.259851865565443916e+02,-9.373369595942524057e+00
-2.258584559133242919e+02,-9.367863931009265954e+00
-2.257317252791789315e+02,-9.362358266470167223e+00
-2.256049946540907172e+02,-9.356852602324465806e+00
-2.254782640380422265e+02,-9.351346938571392542e+00
-2.253515334310158948e+02,-9.345841275210178267e+00
-2.252248028329945839e+02,-9.340335612240075136e+00
-2.250980722439609565e+02,-9.334829949660315762e+00
-2.249713416638977037e+02,-9.329324287470145194e+00
-2.248446110927877157e+02,-9.323818625668806703e+00
-2.247178805306137690e+02,-9.318312964255548891e+00
-2.245911499773589810e+02,-9.312807303229631017e+00
-2.244644194330063272e+02,-9.307301642590298130e+00
-2.243376888975388681e+02,-9.301795982336807711e+00
-2.242109583709397214e+02,-9.296290322468417244e+00
-2.240842278531920044e+02,-9.290784662984385989e+00
-2.239574973442791759e+02,-9.285279003883980309e+00
-2.238307668441844953e+02,-9.279773345166468346e+00
-2.237040363528913076e+02,-9.274267686831109359e+00
-2.235773058703830714e+02,-9.268762028877178594e+00
-2.234505753966432167e+02,-9.263256371303944192e+00
-2.233238449316554863e+02,-9.257750714110688506e+00
-2.231971144754033958e+02,-9.252245057296683228e+00
-2.230703840278707162e+02,-9.246739400861210711e+00
