VX,VY, tiempo
-2.674849999999999728e-01,-2.879499999999999837e-01,3.386000000000000121e+00
-2.676959999999999895e-01,-2.893709999999999893e-01,3.486000000000000210e+00
-2.676040000000000085e-01,-2.917930000000000246e-01,3.685000000000000053e+00
-2.672709999999999808e-01,-2.935969999999999969e-01,3.685999999999999943e+00
-2.663699999999999957e-01,-2.965769999999999795e-01,3.786000000000000032e+00
-2.655009999999999870e-01,-2.987409999999999788e-01,3.886000000000000121e+00
-2.637160000000000060e-01,-3.023950000000000249e-01,3.986000000000000210e+00
-2.622990000000000044e-01,-3.048989999999999756e-01,4.086000000000000298e+00
-2.597729999999999762e-01,-3.088879999999999959e-01,4.187000000000000277e+00
-2.578199999999999936e-01,-3.116929999999999978e-01,4.286999999999999922e+00
-2.544839999999999880e-01,-3.160990000000000189e-01,4.386999999999999567e+00
-2.519910000000000205e-01,-3.191649999999999765e-01,4.487000000000000099e+00
-2.478430000000000077e-01,-3.239349999999999730e-01,4.586999999999999744e+00
-2.448059999999999958e-01,-3.272229999999999861e-01,4.687000000000000277e+00
-2.398379999999999956e-01,-3.322919999999999763e-01,4.788000000000000256e+00
-2.362509999999999888e-01,-3.357550000000000257e-01,4.887999999999999901e+00
-2.304579999999999962e-01,-3.410549999999999971e-01,4.988999999999999879e+00
-2.260540000000000049e-01,-3.448720000000000119e-01,5.088000000000000078e+00
-2.194109999999999949e-01,-3.503260000000000263e-01,5.187999999999999723e+00
-2.147080000000000100e-01,-3.539939999999999753e-01,5.290000000000000036e+00
-2.072410000000000085e-01,-3.595189999999999775e-01,5.389000000000000234e+00
-2.019910000000000039e-01,-3.632059999999999733e-01,5.488999999999999879e+00
-1.937129999999999963e-01,-3.687139999999999862e-01,5.589000000000000412e+00
-1.879280000000000117e-01,-3.723589999999999955e-01,5.689000000000000057e+00
-1.788619999999999932e-01,-3.777619999999999867e-01,5.790000000000000036e+00
-1.725639999999999952e-01,-3.813090000000000090e-01,5.889999999999999680e+00
-1.627480000000000038e-01,-3.865199999999999747e-01,5.990000000000000213e+00
-1.559669999999999945e-01,-3.899110000000000076e-01,6.089999999999999858e+00
-1.454540000000000000e-01,-3.948459999999999748e-01,6.190000000000000391e+00
-1.382299999999999918e-01,-3.980219999999999869e-01,6.290000000000000036e+00
-1.266180000000000083e-01,-4.027800000000000269e-01,6.389999999999999680e+00
-1.189930000000000015e-01,-4.056839999999999891e-01,6.490000000000000213e+00
-1.072970000000000035e-01,-4.098120000000000096e-01,6.591000000000000192e+00
-9.934300000000000075e-02,-4.124070000000000236e-01,6.690999999999999837e+00
-8.720500000000000473e-02,-4.160449999999999982e-01,6.791000000000000369e+00
-7.899299999999999378e-02,-4.182939999999999992e-01,6.891000000000000014e+00
-6.652600000000000180e-02,-4.213950000000000196e-01,6.990999999999999659e+00
-5.813299999999999718e-02,-4.232759999999999856e-01,7.091000000000000192e+00
-4.545600000000000335e-02,-4.258140000000000258e-01,7.192000000000000171e+00
-3.696499999999999786e-02,-4.273159999999999736e-01,7.291999999999999815e+00
-2.420299999999999882e-02,-4.292830000000000257e-01,7.392000000000000348e+00
-1.516699999999999993e-02,-4.304729999999999945e-01,7.491999999999999993e+00
-2.451000000000000054e-03,-4.318670000000000009e-01,7.591999999999999638e+00
5.981000000000000205e-03,-4.326180000000000025e-01,7.692000000000000171e+00
1.852499999999999980e-02,-4.334799999999999764e-01,7.793000000000000149e+00
2.680099999999999844e-02,-4.338899999999999979e-01,7.892999999999999794e+00
3.905600000000000044e-02,-4.342710000000000181e-01,7.993000000000000327e+00
4.710099999999999704e-02,-4.343770000000000131e-01,8.092999999999999972e+00
5.895299999999999846e-02,-4.343319999999999959e-01,8.192999999999999616e+00
6.669500000000000428e-02,-4.341780000000000084e-01,8.292999999999999261e+00
7.429199999999999693e-02,-4.339160000000000239e-01,8.394000000000000128e+00
8.536199999999999344e-02,-4.332699999999999885e-01,8.493999999999999773e+00
9.251199999999999701e-02,-4.326829999999999843e-01,8.593999999999999417e+00
1.032949999999999979e-01,-4.315579999999999972e-01,8.694000000000000838e+00
1.099379999999999941e-01,-4.307259999999999978e-01,8.794000000000000483e+00
1.195050000000000001e-01,-4.293409999999999727e-01,8.894999999999999574e+00
1.256140000000000034e-01,-4.283469999999999778e-01,8.994999999999999218e+00
1.343560000000000032e-01,-4.267750000000000155e-01,9.095000000000000639e+00
1.399009999999999976e-01,-4.256920000000000148e-01,9.195000000000000284e+00
1.477860000000000007e-01,-4.240459999999999785e-01,9.294999999999999929e+00
1.527499999999999969e-01,-4.229459999999999886e-01,9.394999999999999574e+00
1.597500000000000031e-01,-4.213129999999999931e-01,9.496000000000000441e+00
1.641199999999999881e-01,-4.202509999999999857e-01,9.596000000000000085e+00
1.704690000000000094e-01,-4.186549999999999994e-01,9.695999999999999730e+00
1.742239999999999900e-01,-4.176860000000000017e-01,9.795999999999999375e+00
1.794080000000000119e-01,-4.163209999999999966e-01,9.896000000000000796e+00
1.825630000000000031e-01,-4.154780000000000140e-01,9.996999999999999886e+00
